[19:14:35] atlas_generator.ERROR KRTools GUI模块启动
[19:16:05]atlas_generator.ERROR KRTools GUI模块启动
[19:17:30]atlas_generator.ERROR KRTools GUI模块启动
[19:54:12]atlas_generator.ERROR ⚠️ 无法合并文件夹 imgs 和 go_towers，因为它们的图片数量不一致
[19:54:12]atlas_generator.ERROR ⚠️ 无法合并文件夹 imgs 和 go_towers - 副本，因为它们的图片数量不一致
[19:54:12]atlas_generator.ERROR ⚠️ 无法合并文件夹 go_towers 和 go_towers - 副本，因为它们的图片数量不一致
[20:21:01]atlas_generator.ERROR ⚠️ 无法合并文件夹 go_towers 和 go_towers - 副本，因为它们的图片数量不一致
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/DefenseFlag.png + go_towers - 副本/DefenseFlag.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0001.png + go_towers - 副本/arcane_shooter_0001.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0002.png + go_towers - 副本/arcane_shooter_0002.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0003.png + go_towers - 副本/arcane_shooter_0003.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0004.png + go_towers - 副本/arcane_shooter_0004.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0005.png + go_towers - 副本/arcane_shooter_0005.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0006.png + go_towers - 副本/arcane_shooter_0006.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0007.png + go_towers - 副本/arcane_shooter_0007.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0008.png + go_towers - 副本/arcane_shooter_0008.png
[20:33:54]atlas_generator.INFO 🖼️ 合并图片: go_towers/arcane_shooter_0009.png + go_towers - 副本/arcane_shooter_0009.png
